id,label
2854,0
39990,1
83620,1
55088,1
27613,0
21445,0
4238,0
76720,1
68172,0
43095,1
34993,1
21507,0
37744,1
4136,0
92906,1
83345,1
17172,0
66580,0
88355,1
49546,1
46818,1
16375,0
95960,1
70474,0
84892,1
68122,0
479,0
65100,0
21410,0
83347,1
62134,0
79203,1
75992,1
72840,0
48124,1
97082,1
42002,1
82276,1
67267,0
8113,0
88438,1
23072,0
78403,1
87197,1
16066,0
92594,1
52019,1
23951,0
72891,0
37723,1
58086,0
44539,1
81977,1
87667,1
67642,0
93125,1
6966,0
17414,0
77060,1
59623,0
29598,0
5164,0
68244,0
79337,1
86027,1
94784,1
33928,1
88879,1
11297,0
86479,1
73115,0
70455,0
22714,0
76738,1
39286,1
57402,0
29231,0
19959,0
97106,1
86727,1
34554,1
60773,0
85630,1
18525,0
72540,0
19462,0
19082,0
34976,1
87156,1
3281,0
4036,0
953,0
66805,0
9111,0
95689,1
72923,0
8286,0
83400,1
69693,0
78818,1
18052,0
73610,0
12614,0
14155,0
7090,0
72852,0
96069,1
70288,0
1591,0
17572,0
93690,1
26430,0
43612,1
44843,1
9424,0
51995,1
75953,1
41018,1
88622,1
66802,0
2521,0
45495,1
16966,0
86891,1
33940,1
17829,0
24930,0
85951,1
19762,0
84026,1
38273,1
26322,0
57413,0
29143,0
7872,0
42447,1
76820,1
80811,1
61410,0
9795,0
42583,1
61559,0
26695,0
23981,0
56448,1
44589,1
1776,0
52981,1
71388,0
88981,1
60819,0
94926,1
6580,0
9947,0
56143,1
16372,0
13811,0
74349,0
86014,1
46056,1
28442,0
51774,1
45080,1
77315,1
40234,1
1514,0
32471,1
73463,0
46450,1
11617,0
75699,1
53138,1
36388,1
11265,0
21784,0
66191,0
49031,1
18495,0
66770,0
82499,1
51801,1
88882,1
74223,0
21895,0
10647,0
97039,1
65180,0
3833,0
5751,0
78282,1
84643,1
64614,0
20184,0
75179,0
86446,1
72730,0
39421,1
60027,0
54342,1
60808,0
81963,1
39663,1
24773,0
6656,0
